,Date,FTR,HomeTeam,AwayTeam
1,11/17/2012,H,Arsenal,Tottenham
2,11/24/2012,D,Aston Villa,Arsenal
3,11/25/2012,H,Tottenham,West Ham
4,10/28/2012,D,Everton,Liverpool
5,11/3/2012,D,Fulham,Everton
6,11/4/2012,D,Liverpool,Newcastle
7,12/9/2012,A,Man City,Man United
8,12/15/2012,A,Newcastle,Man City
9,12/15/2012,H,Man United,Sunderland
10,10/21/2012,D,Sunderland,Newcastle
11,10/27/2012,D,Stoke,Sunderland
12,10/28/2012,H,Newcastle,West Brom
13,3/3/2013,H,Tottenham,Arsenal
14,3/10/2013,H,Liverpool,Tottenham
15,3/16/2013,A,Swansea,Arsenal
16,5/5/2013,D,Liverpool,Everton
17,5/12/2013,A,Fulham,Liverpool
18,5/12/2013,H,Everton,West Ham
19,4/8/2013,A,Man United,Man City
20,4/14/2013,A,Stoke,Man United
21,4/17/2013,H,Man City,Wigan
22,4/14/2013,A,Newcastle,Sunderland
23,4/20/2013,D,West Brom,Newcastle
24,4/20/2013,H,Sunderland,Everton
25,9/1/2013,H,Arsenal,Tottenham
26,9/14/2013,A,Sunderland,Arsenal
27,9/14/2013,H,Tottenham,Norwich
28,11/23/2013,D,Everton,Liverpool
29,11/30/2013,H,Everton,Stoke
30,12/1/2013,H,Hull,Liverpool
31,9/22/2013,H,Man City,Man United
32,9/28/2013,H,Aston Villa,Man City
33,9/28/2013,A,Man United,West Brom
34,10/27/2013,H,Sunderland,Newcastle
35,11/2/2013,H,Hull,Sunderland
36,11/2/2013,H,Newcastle,Chelsea
37,3/16/2014,A,Tottenham,Arsenal
38,3/23/2014,H,Tottenham,Southampton
39,3/22/2014,H,Chelsea,Arsenal
40,1/28/2014,H,Liverpool,Everton
41,2/2/2014,D,West Brom,Liverpool
42,2/1/2014,H,Everton,Aston Villa
43,3/25/2014,A,Man United,Man City
44,3/29/2014,H,Man United,Aston Villa
45,3/29/2014,D,Arsenal,Man City
46,2/1/2014,A,Newcastle,Sunderland
47,2/8/2014,H,Chelsea,Newcastle
48,2/8/2014,A,Sunderland,Hull
49,9/27/2014,D,Arsenal,Tottenham
50,10/5/2014,H,Chelsea,Arsenal
51,10/5/2014,H,Tottenham,Southampton
52,9/27/2014,D,Liverpool,Everton
53,10/4/2014,H,Liverpool,West Brom
54,10/5/2014,H,Man United,Everton
55,11/2/2014,H,Man City,Man United
56,11/8/2014,D,QPR,Man City
57,11/8/2014,H,Man United,Crystal Palace
58,12/21/2014,A,Newcastle,Sunderland
59,12/26/2014,H,Man United,Newcastle
60,12/26/2014,A,Sunderland,Hull
61,2/7/2015,H,Tottenham,Arsenal
62,2/10/2015,H,Liverpool,Tottenham
63,2/10/2015,H,Arsenal,Leicester
64,2/7/2015,D,Everton,Liverpool
65,2/11/2015,H,Chelsea,Everton
66,2/10/2015,H,Liverpool,Tottenham
67,4/12/2015,H,Man United,Man City
68,4/18/2015,H,Chelsea,Man United
69,4/19/2015,H,Man City,West Ham
70,4/5/2015,H,Sunderland,Newcastle
71,4/11/2015,A,Sunderland,Crystal Palace
72,4/13/2015,H,Liverpool,Newcastle
